ESTACION,HORA,avg(VEL)
estacion1,0.0,3.432133129679601
estacion1,10.0,3.430148118879495
estacion1,20.0,3.43045191886602
estacion1,30.0,3.4312539369027335
estacion1,40.0,3.432782963453354
estacion1,50.0,3.431586982981299
estacion2,0.0,1.1013522256728754
estacion2,10.0,1.1039612903225702
estacion2,20.0,1.1039027222293811
estacion2,30.0,1.0990194181020512
estacion2,40.0,1.1023096774193466
estacion2,50.0,1.101541338836574
estacion3,0.0,1.3129977654945526
estacion3,10.0,1.3161757093783946
estacion3,20.0,1.3186917647059109
estacion3,30.0,1.318963772039288
estacion3,40.0,1.3180693418638794
estacion3,50.0,1.3160528111835834
estacion4,0.0,3.5129693508255704
estacion4,10.0,3.508582127759098
estacion4,20.0,3.5067155227897233
estacion4,30.0,3.50724578316776
estacion4,40.0,3.5101348189740627
estacion4,50.0,3.508438546954771
